,0
0,Colorado
1,Connecticut
2,Delaware
3,Hawaii
4,Illinois
5,Indiana
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,New Hampshire
16,North Dakota
17,Ohio
18,Oklahoma
19,Oregon
20,Pennsylvania
21,Rhode Island
22,South Dakota
23,Tennessee
24,Utah
25,Vermont
26,Virginia
27,Wisconsin
28,Wyoming
